path	size	legacy_candidate	sys_path_hack	duplicate_basename
tests/portfolio/test_policy_engine_smoke.py	322	no	no	no
tests/portfolio/test_quotation_module.py	404	no	no	no
tests/portfolio/test_run_action_handler_cli_offline.py	1924	no	no	no
tests/portfolio/test_send_with_attachment_shim.py	170	no	no	no
tests/portfolio/test_spam_cli_help.py	502	no	no	no
tests/portfolio/test_spam_orchestrator_smoke.py	248	no	no	no
tests/portfolio/test_spam_rules_scoring.py	1066	no	no	no
tests/portfolio/test_support_ticket.py	985	no	no	no
tests/spam/test_offline_orchestrator_contracts.py	912	no	no	no
tests/spam/test_offline_orchestrator_e2e.py	1231	no	no	no
tests/spam/test_offline_orchestrator_model_variants.py	1237	no	no	no
tests/spam/test_offline_orchestrator_model_variants_extra.py	829	no	no	no
tests/spam/test_offline_orchestrator_paths.py	1630	no	no	no
tests/spam/test_rule_model_tiebreak_offline.py	2232	no	no	no
tests/spam/test_rules.py	1725	no	no	no
tests/spam/test_rules_offline_behaviors.py	1656	no	no	no
tests/test_action_handler.py	1909	no	no	no
tests/test_apply_diff.py	2346	no	no	no
tests/test_classifier.py	1673	no	no	no
tests/test_init_db.py	1480	no	no	no
tests/test_init_emails_log_db.py	1274	no	no	no
tests/test_init_processed_mails_db.py	1165	no	no	no
tests/test_init_tickets_db.py	1280	no	no	no
tests/test_mailer.py	2136	no	no	no
tests/test_mailer_online.py	1102	no	no	no
tests/test_quotation.py	988	no	no	no
tests/test_quote_logger.py	809	no	no	no
tests/test_sales_notifier.py	1256	no	no	no
tests/test_send_with_attachment.py	1043	no	no	no
tests/test_spam_filter.py	3065	no	no	no
tests/test_stats_collector.py	2021	no	yes	no
tests/unit/test_classifier_rules_extra.py	932	no	no	no
tests/unit/test_classifier_shapes_and_rules.py	1113	no	no	no
tests/unit/test_cli_orchestrator_offline.py	498	no	no	no
tests/unit/test_contracts.py	768	no	no	no
tests/unit/test_email_processor_order_extra.py	429	no	no	no
tests/unit/test_handle_safe_patch_min.py	426	no	yes	no
tests/unit/test_html_link_ratio_edges_new.py	924	no	no	no
tests/unit/test_html_link_ratio_more_edges.py	517	no	no	no
tests/unit/test_i18n_keywords_nfkc.py	301	no	no	no
tests/unit/test_i18n_nfkc_edges.py	426	no	no	no
tests/unit/test_inference_classifier_errors.py	1603	no	no	no
tests/unit/test_pdf_safe_more_ascii.py	490	no	no	no
tests/unit/test_pdf_safe_security_more.py	1111	no	no	no
tests/unit/test_policy_engine.py	867	no	no	no
tests/unit/test_policy_minimal.py	458	no	no	no
tests/unit/test_quotation_branches_extra.py	988	no	no	no
tests/unit/test_quotation_needs_manual_more.py	364	no	no	no
tests/unit/test_rules_conf_suffix_reasons.py	1108	no	no	no
tests/unit/test_send_with_attachment_smoke.py	564	no	yes	no
tests/unit/test_spam_pipeline_smoke.py	729	no	yes	no
tests/unit/test_spam_rules_min.py	719	no	yes	no
tests/unit/test_spam_stack.py	946	no	no	no
tests/unit/test_tasks_minimal.py	1081	no	no	no
tests/unit/test_utils_pdf_safe_top.py	545	no	no	no
tmp/in.json	112	yes	no	no
tmp/out.json	127	yes	no	no
tmp/spam_snapshot_20250817_011451.txt	12911	yes	no	no
tools/run_actions_matrix.py	106	no	no	yes
tox.ini	137	no	no	no
